event_id,month,group,income,debt_ratio,history_months,late_payments,requested_amount,employment_years,default
sim-000000,0,group_b,38833.24,0.2457,72.4,2,15925.56,2.7,0
sim-000001,0,group_a,20767.99,0.2723,42.6,1,10383.99,5.5,1
sim-000002,0,group_b,29140.95,0.3994,58.6,1,6458.36,2.9,0
sim-000003,0,group_b,26423.27,0.129,50.5,1,2479.54,4.8,0
sim-000004,0,group_a,22831.34,0.4929,59.1,1,20687.09,1.4,1
sim-000005,0,group_b,35062.43,0.1771,89.4,0,6817.25,3.0,0
sim-000006,0,group_b,11747.88,0.3116,99.5,1,11104.02,5.6,0
sim-000007,0,group_b,30257.36,0.0725,105.9,1,8757.55,6.5,0
sim-000008,0,group_a,33258.92,0.1884,51.9,1,22829.8,15.6,0
sim-000009,0,group_a,19518.22,0.1383,77.3,0,4711.63,7.4,0
sim-000010,0,group_a,65221.98,0.1937,42.7,0,13684.11,13.4,0
sim-000011,0,group_b,26912.0,0.2174,86.8,1,20392.46,7.6,0
sim-000012,0,group_b,31265.06,0.1874,27.8,1,4466.34,6.1,0
sim-000013,0,group_b,26937.32,0.2861,146.7,4,7319.58,9.2,0
sim-000014,0,group_a,33381.0,0.0479,45.0,2,9617.71,5.8,0
sim-000015,0,group_a,59839.46,0.3302,80.2,0,11674.8,4.1,1
sim-000016,0,group_a,97603.31,0.6841,205.6,0,10784.16,6.3,1
sim-000017,0,group_a,47248.14,0.1827,54.5,1,13784.75,2.5,0
sim-000018,0,group_b,54554.6,0.5056,81.1,3,8157.49,1.3,0
sim-000019,0,group_b,71032.98,0.2956,29.3,0,9900.59,5.6,0
sim-000020,0,group_b,38350.62,0.3926,77.3,2,4409.18,11.6,1
sim-000021,0,group_a,66803.14,0.1953,35.3,0,4864.82,14.3,1
sim-000022,0,group_b,48185.26,0.2365,62.5,0,7733.21,3.4,0
sim-000023,0,group_b,36697.9,0.4879,25.7,1,6799.63,3.8,1
sim-000024,0,group_b,40020.35,0.2758,75.9,2,11365.11,7.4,0
sim-000025,0,group_a,16074.75,0.1607,57.5,2,3197.01,9.0,0
sim-000026,0,group_a,39053.59,0.1638,56.0,1,10240.37,9.1,0
sim-000027,0,group_a,18063.09,0.3548,23.4,1,11853.56,4.9,1
sim-000028,0,group_a,17455.1,0.5184,70.9,1,2676.37,3.5,0
sim-000029,0,group_b,37459.25,0.3834,56.5,3,18694.77,3.6,1
sim-000030,0,group_b,21635.42,0.1819,44.4,1,21630.07,8.7,1
sim-000031,0,group_b,34441.32,0.3589,38.3,1,14063.63,1.6,0
sim-000032,0,group_a,36612.41,0.2596,84.7,0,7251.9,8.9,0
sim-000033,0,group_a,37304.93,0.1434,73.5,1,7042.15,15.0,0
sim-000034,0,group_a,23629.92,0.572,65.6,4,6055.27,4.3,0
sim-000035,0,group_a,50384.89,0.201,166.9,0,8073.48,15.3,0
sim-000036,0,group_a,33273.65,0.5556,104.3,1,6457.17,1.0,0
sim-000037,0,group_a,41574.9,0.4204,85.6,0,9613.57,8.4,0
sim-000038,0,group_a,20899.81,0.5618,66.0,2,8245.39,3.4,0
sim-000039,0,group_b,32051.6,0.4757,81.9,0,10935.33,8.6,0
sim-000040,0,group_a,54768.13,0.4919,136.5,1,6696.7,2.7,1
sim-000041,0,group_b,51920.79,0.1231,27.4,3,4866.65,6.5,1
sim-000042,0,group_b,24714.29,0.3955,74.1,0,14641.24,7.1,0
sim-000043,0,group_a,27470.43,0.5149,80.5,0,4911.15,9.6,1
sim-000044,0,group_b,22805.38,0.1047,35.9,1,7420.64,5.2,1
sim-000045,0,group_b,26220.76,0.2726,67.3,1,7475.51,5.3,0
sim-000046,0,group_a,19194.74,0.1407,90.8,0,8517.33,1.5,0
sim-000047,0,group_a,32596.69,0.211,86.3,1,7620.76,1.3,0
sim-000048,0,group_b,45067.57,0.4512,64.7,1,6788.34,7.4,1
sim-000049,0,group_a,24841.67,0.4462,73.0,1,8944.53,4.3,1
sim-000050,0,group_a,33254.5,0.3078,68.0,3,5071.49,5.8,0
sim-000051,0,group_a,31488.91,0.0486,30.2,2,7272.26,1.7,0
sim-000052,0,group_b,53806.52,0.3516,52.9,2,8447.96,3.9,0
sim-000053,0,group_b,26719.03,0.6482,241.9,0,3323.89,8.9,1
sim-000054,0,group_b,27130.38,0.1995,67.6,0,15400.98,5.1,0
sim-000055,0,group_b,24213.63,0.1193,50.2,0,22925.0,5.9,0
sim-000056,0,group_a,21423.55,0.3206,89.9,1,11025.66,4.4,0
sim-000057,0,group_a,43142.23,0.5225,26.7,1,6689.05,8.9,1
sim-000058,0,group_a,32638.68,0.2971,52.6,2,6849.28,7.6,0
sim-000059,0,group_a,35348.81,0.3656,56.2,2,4818.3,4.5,0
sim-000060,0,group_b,59003.34,0.4492,90.2,1,17674.44,5.1,0
sim-000061,0,group_a,60444.08,0.3172,67.8,2,4147.89,4.1,0
sim-000062,0,group_a,17302.07,0.7106,69.5,1,12940.87,3.3,1
sim-000063,0,group_b,45346.6,0.1381,65.3,1,6411.35,18.5,0
sim-000064,0,group_b,37978.36,0.1759,39.9,0,15855.33,8.5,0
sim-000065,0,group_a,28456.5,0.3394,70.0,1,11285.66,2.1,1
sim-000066,0,group_a,39641.31,0.2299,72.7,1,12619.14,5.7,0
sim-000067,0,group_a,16729.33,0.442,56.1,0,8836.37,6.5,0
sim-000068,0,group_a,63851.14,0.4736,81.4,1,18594.8,1.1,1
sim-000069,0,group_a,42884.96,0.4143,44.6,0,3601.36,9.9,0
sim-000070,0,group_a,24019.4,0.3021,54.8,2,3405.7,8.1,1
sim-000071,0,group_a,27014.46,0.3346,116.3,0,3754.74,11.7,0
sim-000072,0,group_b,16893.4,0.1684,46.2,0,6415.81,14.7,0
sim-000073,0,group_a,30276.83,0.6139,52.4,1,5646.7,1.0,1
sim-000074,0,group_a,28204.94,0.3668,74.4,1,6189.31,1.2,0
sim-000075,0,group_a,19800.33,0.3289,126.5,3,18556.54,4.4,0
sim-000076,0,group_a,47868.6,0.2081,96.1,1,5964.66,1.1,1
sim-000077,0,group_b,59056.79,0.5885,72.6,1,12826.43,3.7,0
sim-000078,0,group_a,34149.68,0.2146,64.2,1,8442.26,2.7,1
sim-000079,0,group_b,30382.69,0.4729,22.8,0,14016.63,5.7,1
sim-000080,0,group_b,41468.67,0.377,70.5,0,9765.78,4.2,0
sim-000081,0,group_a,34260.61,0.3785,42.5,1,9706.5,8.3,1
sim-000082,0,group_b,21927.23,0.1526,40.7,0,7043.2,13.1,1
sim-000083,0,group_a,26261.92,0.0809,34.3,3,5110.68,3.5,1
sim-000084,0,group_a,30500.45,0.5461,96.5,0,3678.57,4.2,1
sim-000085,0,group_a,38339.59,0.6949,49.3,3,11046.21,4.3,0
sim-000086,0,group_b,34680.1,0.26,32.4,0,20746.29,5.6,0
sim-000087,0,group_a,37735.45,0.1908,58.9,2,6168.16,3.1,1
sim-000088,0,group_a,18207.2,0.3773,120.4,0,8028.46,9.3,0
sim-000089,0,group_a,45678.89,0.3485,37.7,1,4844.58,7.3,1
sim-000090,0,group_a,34593.97,0.5471,128.3,2,7588.69,3.1,1
sim-000091,0,group_b,100925.49,0.1358,77.1,0,6836.14,1.4,0
sim-000092,0,group_a,29354.28,0.2673,127.4,1,5776.29,14.2,0
sim-000093,0,group_a,39571.03,0.2367,58.0,0,4879.9,8.8,0
sim-000094,0,group_a,113354.13,0.0605,93.3,1,13473.57,0.9,0
sim-000095,0,group_b,37478.34,0.1039,148.1,0,13496.49,20.3,0
sim-000096,0,group_a,33576.95,0.1821,48.3,2,16393.89,10.2,0
sim-000097,0,group_a,22822.29,0.4774,60.2,0,12321.48,7.4,0
sim-000098,0,group_a,65635.49,0.2554,69.7,1,5181.83,3.4,0
sim-000099,0,group_b,21230.14,0.4412,9.0,3,5935.4,8.3,1
sim-000100,0,group_b,41331.94,0.3208,12.6,1,9605.73,1.5,0
sim-000101,0,group_b,28313.86,0.536,74.7,5,5442.93,4.2,0
sim-000102,0,group_a,31903.75,0.02,12.5,0,17091.31,10.9,0
sim-000103,0,group_b,18995.33,0.1205,80.6,3,8031.88,5.7,1
sim-000104,0,group_b,60725.16,0.4916,71.8,3,5148.68,8.9,0
